#	size	1                   	2                   	3                   	4                   	5                   	6                   	7                   	8                   	9                   	10                  	average             	average(s:ms)
0	8   	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.000;23;1          	0.0;23              	0:0;1.0   
1	13  	1.000;56;1          	1.000;56;1          	0.000;56;1          	1.000;56;1          	1.000;56;1          	0.000;56;1          	0.000;56;1          	1.000;56;1          	1.000;56;1          	1.000;56;1          	0.7;56              	0:0;1.0   
2	18  	0.000;11;1          	0.000;11;1          	0.000;11;1          	1.000;11;1          	1.000;11;1          	0.000;11;1          	0.000;11;1          	0.000;11;1          	0.000;11;1          	0.000;11;1          	0.2;11              	0:0;1.0   
3	23  	1.000;12;1          	0.000;12;1          	0.000;12;1          	0.000;12;1          	0.000;12;1          	1.000;12;1          	0.000;12;1          	0.000;12;1          	0.000;12;1          	1.000;12;1          	0.3;12              	0:0;1.0   
4	28  	0.000;0;1           	1.000;0;1           	0.000;0;1           	0.000;0;1           	0.000;0;1           	0.000;0;1           	1.000;0;1           	0.000;0;1           	0.000;0;1           	1.000;0;1           	0.3;0               	0:0;1.0   
5	33  	1.000;2;1           	1.000;2;1           	1.000;2;1           	1.000;2;1           	1.000;2;1           	1.000;2;1           	1.000;2;1           	0.000;2;1           	0.000;2;1           	0.000;2;1           	0.7;2               	0:0;1.0   
6	38  	0.000;27;1          	0.000;27;1          	1.000;27;1          	0.000;27;1          	0.000;27;1          	1.000;27;1          	0.000;27;1          	1.000;27;1          	1.000;27;1          	1.000;27;1          	0.5;27              	0:0;1.0   
7	43  	6.000;1141;1        	5.000;1141;1        	6.000;1141;1        	6.000;1141;1        	18.000;1141;1       	6.000;1141;1        	6.000;1141;1        	6.000;1141;1        	5.000;1141;1        	5.000;1141;1        	6.9;1141            	0:6;1.0   
8	48  	1.000;31;1          	1.000;31;1          	1.000;31;1          	0.000;31;1          	2.000;31;1          	1.000;31;1          	0.000;31;1          	0.000;31;1          	2.000;31;1          	1.000;31;1          	0.9;31              	0:0;1.0   
9	53  	17.000;2068;1       	10.000;2068;1       	9.000;2068;1        	10.000;2068;1       	16.000;2068;1       	10.000;2068;1       	10.000;2068;1       	19.000;2068;1       	10.000;2068;1       	17.000;2068;1       	12.8;2068           	0:12;1.0  
